대여소_ID,시군구,시군구코드,,
825,구로구,11090,,
826,구로구,11090,,
827,구로구,11090,,
828,구로구,11090,,
829,구로구,11090,,
830,구로구,11090,,
831,구로구,11100,,
832,구로구,11100,,
833,구로구,11100,,
834,구로구,11100,,
835,구로구,11100,,
836,구로구,11100,,
837,구로구,11100,,
838,구로구,11100,,
839,구로구,11100,,
840,구로구,11100,,
841,구로구,11100,,
842,구로구,11100,,
843,구로구,11100,,
844,구로구,11100,,
845,구로구,11100,,
846,구로구,11100,,
847,구로구,11100,,
848,구로구,11100,,
849,구로구,11100,,
850,구로구,11100,,
851,구로구,11100,,
852,구로구,11100,,
853,구로구,11100,,
854,구로구,11100,,
855,구로구,11100,,
856,구로구,11100,,
857,구로구,11100,,
858,구로구,11100,,
859,구로구,11100,,
860,구로구,11100,,
861,구로구,11100,,
862,구로구,11100,,
863,구로구,11100,,
864,구로구,11100,,
865,구로구,11100,,
866,구로구,11100,,
867,구로구,11100,,
868,구로구,11100,,
869,구로구,11100,,
870,구로구,11100,,
871,구로구,11100,,
872,구로구,11100,,
873,구로구,11100,,
874,구로구,11100,,
875,구로구,11100,,
876,구로구,11100,,
877,구로구,11100,,
878,구로구,11100,,
879,구로구,11100,,
880,구로구,11100,,
881,구로구,11100,,
882,구로구,11100,,
883,구로구,11100,,
884,구로구,11100,,
885,구로구,11100,,
886,구로구,11100,,
887,구로구,11100,,
888,구로구,11100,,
889,구로구,11100,,
890,구로구,11100,,
891,구로구,11100,,
892,구로구,11100,,
893,구로구,11100,,
894,구로구,11100,,
895,구로구,11100,,
896,구로구,11100,,
897,구로구,11100,,
898,구로구,11100,,
899,구로구,11100,,
900,구로구,11100,,
901,구로구,11100,,
902,구로구,11100,,
903,구로구,11100,,
904,구로구,11100,,
905,구로구,11100,,
906,구로구,11100,,
907,구로구,11100,,
908,구로구,11100,,
909,구로구,11100,,
910,구로구,11100,,
911,구로구,11100,,
912,구로구,11100,,
913,구로구,11100,,
914,구로구,11100,,
915,구로구,11100,,
916,구로구,11100,,
917,구로구,11100,,
918,구로구,11100,,
919,구로구,11100,,
920,구로구,11100,,
921,구로구,11100,,
922,구로구,11100,,
923,구로구,11100,,
924,구로구,11100,,
925,구로구,11100,,
926,구로구,11100,,
927,구로구,11100,,
928,구로구,11100,,
929,구로구,11100,,
930,구로구,11100,,
931,구로구,11100,,
932,구로구,11100,,
933,구로구,11100,,
934,구로구,11100,,
935,구로구,11100,,
936,구로구,11100,,
937,구로구,11100,,
938,구로구,11110,,
939,구로구,11110,,
940,구로구,11110,,
941,구로구,11110,,
942,구로구,11110,,
943,구로구,11110,,
944,구로구,11110,,
945,구로구,11110,,
946,금천구,11110,,
947,금천구,11110,,
948,금천구,11110,,
949,금천구,11110,,
950,금천구,11110,,
951,금천구,11110,,
952,금천구,11110,,
953,금천구,11110,,
954,금천구,11110,,
955,금천구,11110,,
956,금천구,11110,,
957,금천구,11110,,
958,금천구,11110,,
959,금천구,11110,,
960,금천구,11110,,
961,금천구,11110,,
962,금천구,11110,,
963,금천구,11110,,
964,금천구,11110,,
965,금천구,11110,,
966,금천구,11110,,
967,금천구,11110,,
968,금천구,11110,,
969,금천구,11110,,
970,금천구,11110,,
971,금천구,11110,,
972,금천구,11110,,
973,금천구,11110,,
974,금천구,11110,,
975,금천구,11110,,
976,금천구,11110,,
977,금천구,11110,,
978,금천구,11110,,
979,금천구,11110,,
980,금천구,11110,,
981,금천구,11110,,
982,금천구,11110,,
983,금천구,11110,,
984,금천구,11110,,
985,금천구,11110,,
986,금천구,11110,,
987,금천구,11110,,
988,금천구,11110,,
989,금천구,11110,,
990,금천구,11110,,
991,금천구,11110,,
992,금천구,11110,,
993,금천구,11110,,
994,금천구,11110,,
995,금천구,11110,,
996,금천구,11110,,
997,금천구,11110,,
998,금천구,11110,,
999,금천구,11110,,
1000,금천구,11110,,
1001,금천구,11110,,
1002,금천구,11110,,
1003,금천구,11110,,
1004,금천구,11110,,
1005,금천구,11110,,
1006,금천구,11110,,
1007,금천구,11110,,
1008,금천구,11110,,
1009,금천구,11110,,
1010,금천구,11110,,
1011,금천구,11110,,
1012,금천구,11110,,
1013,금천구,11110,,
1014,금천구,11110,,
1015,금천구,11110,,
1016,금천구,11110,,
1017,금천구,11110,,
1018,금천구,11110,,
1019,금천구,11110,,
1020,금천구,11110,,
1021,금천구,11110,,
1022,금천구,11110,,
1023,금천구,11110,,
1024,금천구,11110,,
1025,금천구,11110,,
1026,금천구,11110,,
1027,금천구,11110,,
1028,금천구,11110,,
1029,금천구,11110,,
1030,금천구,11110,,
1031,금천구,11110,,
1032,노원구,11110,,
1033,노원구,11110,,
1034,노원구,11110,,
1035,노원구,11110,,
1036,노원구,11110,,
1037,노원구,11110,,
1038,노원구,11110,,
1039,노원구,11110,,
1040,노원구,11110,,
1041,노원구,11110,,
1042,노원구,11110,,
1043,노원구,11110,,
1044,노원구,11110,,
1045,노원구,11110,,
1046,노원구,11110,,
1047,노원구,11110,,
1048,노원구,11110,,
1049,노원구,11110,,
1050,노원구,11110,,
1051,노원구,11110,,
1052,노원구,11110,,
1053,노원구,11110,,
1054,노원구,11110,,
1055,노원구,11110,,
